"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","vodovoz.ru","0","Поиск товаров","2","0","Успешный поиск","0"
"0","Authentication","1","Login","0","0","Successful login","0"
"0","vodovoz.ru","0","Каталог — Сортировка","2","0","Сортировка по цене","0"
"0","vodovoz.ru","0","Поиск товаров","4","0","Параметризованный поиск","0"
"0","Authentication","4","Login","0","0","Failed login","0"
"0","Интернет-магазин Vodovoz.ru","0","Карточка товара (PDP)","1","0","Добавление в корзину со страницы товара","0"
"0","vodovoz.ru","0","Корзина — Управление количеством","1","0","Управление количеством","0"
"0","vodovoz.ru","0","Корзина — Управление количеством","1","0","Удаление из корзины","0"
"0","vodovoz.ru","0","Корзина","1","0","Добавление товара в корзину","0"
"0","Интернет-магазин Vodovoz.ru","1","Карточка товара (PDP)","0","0","Просмотр информации о товаре","0"
"0","vodovoz.ru","0","Избранное","1","0","Избранное в гостевом режиме","0"
"0","vodovoz.ru","0","Каталог — Сортировка","1","0","Каталог загружается после каждого вида сортировки","0"
"0","vodovoz.ru","0","Авторизация","1","0","Негативный сценарий: неверный Email/пароль","0"
"0","vodovoz.ru","0","Корзина — Управление количеством","1","0","Содержимое корзины","0"
