"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","20628","Параметризованный поиск по различным запросам Прогон 1: Поиск по запросу 'вода', ожидаем не менее 5 товаров","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: вода питьевая
3. Дождаться результатов (не менее 1 товара)
4. Запомнить название первого товара
5. Нажать кнопку «В корзину» первого товара
6. Убедиться что счётчик корзины в шапке стал > 0
7. Открыть страницу корзины /basket/
8. Проверить, что корзина не пуста
9. Проверить, что добавленный товар присутствует в корзине
","23114","E2E: Поиск 'вода питьевая' → В корзину → Корзина содержит товар","","2026-09-07","passed","2026-09-07","","E2E: Поиск → Корзина","com.automation.tests.AddToCartTest","testSearchAndAddToCart"
"Негативный E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Нажать кнопку «Войти» в шапке сайта
3. Дождаться открытия модального окна авторизации
4. Переключиться на вход по Email
5. Ввести некорректный email: test_qa_auto@example.com
6. Ввести неверный пароль: WrongPass123!
7. Принять условия обработки персональных данных
8. Нажать кнопку «Войти»
9. Проверить, что отображается сообщение об ошибке авторизации
","34380","Вход с неверным Email → проверка сообщения об ошибке","","2026-09-07","passed","2026-09-07","","Авторизация по Email","com.automation.tests.LoginByEmailTest","testLoginWithInvalidEmailShowsError"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","15063","Параметризованный поиск по различным запросам Прогон 4: Поиск по запросу 'лимонад', ожидаем не менее 2 товаров","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"E2E-сценарий (гостевой режим):
1. Открыть главную vodovoz.ru
2. Поиск «кулер»
3. Запомнить название первого товара
4. Нажать «В избранное» (кнопка-сердечко)
5. Перейти на страницу /personal/favorite/
6. Если редирект на логин — тест фиксирует это как ожидаемое поведение
7. Если страница избранного открылась — проверяем наличие товара
","23865","Поиск 'кулер' → В избранное → Проверка страницы избранного","","2026-09-07","passed","2026-09-07","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testAddToFavoritesAsGuest"
"","19907","Login fails with various invalid credential combinations username='' / password='password123'","","2026-09-07","failed","2026-09-07","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentialsParametrized"
"","20975","Login fails with various invalid credential combinations username='user@test.com' / password=''","","2026-09-07","failed","2026-09-07","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentialsParametrized"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: вода
3. Нажать кнопку поиска
4. Проверить, что URL содержит параметр q=
5. Проверить, что найдено не менее 5 товаров
6. Проверить, что хотя бы один товар содержит 'вода' в названии
","18259","Поиск 'вода' возвращает товары с водой","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForWaterReturnsProducts"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: кулер
3. Нажать кнопку поиска
4. Проверить, что открылась страница каталога (/catalog/)
5. Проверить, что URL содержит параметр поиска q=
6. Проверить, что найден хотя бы 1 товар
","18908","Поиск 'кулер' возвращает страницу каталога с результатами","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForCoolerReturnsResults"
"Invalid credentials should show an error message","19919","Login fails with invalid credentials","","2026-09-07","failed","2026-09-07","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentials"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","20645","Параметризованный поиск по различным запросам Прогон 2: Поиск по запросу 'кулер', ожидаем не менее 1 товаров","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"","22263","Login fails with various invalid credential combinations username='invalid' / password='invalid'","","2026-09-07","failed","2026-09-07","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentialsParametrized"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","16371","Параметризованный поиск по различным запросам Прогон 3: Поиск по запросу 'помпа', ожидаем не менее 3 товаров","","2026-09-07","passed","2026-09-07","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"User logs in with valid credentials and is redirected to the dashboard","20122","Login succeeds with valid credentials","","2026-09-07","failed","2026-09-07","","Login Page Tests","com.automation.tests.LoginTest","testSuccessfulLogin"
