"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","15378","Параметризованный поиск по различным запросам Прогон 2: Поиск по запросу 'кулер', ожидаем не менее 1 товаров","","2026-09-09","passed","2026-09-09","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"Шаги:
1. Открыть раздел каталога (питьевая вода 19 л)
2. Применить сортировку «Дороже» (order=desc)
3. Проверить что цены идут по убыванию (first ≥ last)
4. Проверить наличие товаров
","10875","Сортировка 'Дороже': первый товар дороже последнего","","2026-09-09","passed","2026-09-09","","Сортировка товаров в каталоге","com.automation.tests.CatalogSortTest","testSortByPriceDescending"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","14144","Параметризованный поиск по различным запросам Прогон 3: Поиск по запросу 'помпа', ожидаем не менее 3 товаров","","2026-09-09","passed","2026-09-09","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"Негативный E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Нажать кнопку «Войти» в шапке сайта
3. Дождаться открытия модального окна авторизации
4. Переключиться на вход по Email
5. Ввести некорректный email: test_qa_auto@example.com
6. Ввести неверный пароль: WrongPass123!
7. Принять условия обработки персональных данных
8. Нажать кнопку «Войти»
9. Проверить, что отображается сообщение об ошибке авторизации
","30332","Вход с неверным Email → проверка сообщения об ошибке","","2026-09-09","passed","2026-09-09","","Авторизация по Email","com.automation.tests.LoginByEmailTest","testLoginWithInvalidEmailShowsError"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","13651","Параметризованный поиск по различным запросам Прогон 4: Поиск по запросу 'лимонад', ожидаем не менее 2 товаров","","2026-09-09","passed","2026-09-09","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"E2E-сценарий (гостевой режим):
1. Открыть главную vodovoz.ru
2. Поиск «кулер»
3. Запомнить название первого товара
4. Нажать «В избранное» (кнопка-сердечко)
5. Перейти на страницу /personal/favorite/
6. Если редирект на логин — тест фиксирует это как ожидаемое поведение
7. Если страница избранного открылась — проверяем наличие товара
","20631","Поиск 'кулер' → В избранное → Проверка страницы избранного","","2026-09-09","passed","2026-09-09","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testAddToFavoritesAsGuest"
"E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: вода питьевая
3. Дождаться результатов (не менее 1 товара)
4. Запомнить название первого товара
5. Нажать кнопку «В корзину» первого товара
6. Убедиться что счётчик корзины в шапке стал > 0
7. Открыть страницу корзины /basket/
8. Проверить, что корзина не пуста
9. Проверить, что добавленный товар присутствует в корзине
","19524","E2E: Поиск 'вода питьевая' → В корзину → Корзина содержит товар","","2026-09-09","passed","2026-09-09","","E2E: Поиск → Корзина","com.automation.tests.AddToCartTest","testSearchAndAddToCart"
"","19999","Login fails with various invalid credential combinations username='user@test.com' / password=''","","2026-09-09","failed","2026-09-09","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentialsParametrized"
"","20207","Login fails with various invalid credential combinations username='invalid' / password='invalid'","","2026-09-09","failed","2026-09-09","","Login Page Tests","com.automation.tests.LoginTest","testLoginWithInvalidCredentialsParametrized"
"User logs in with valid credentials and is redirected to the dashboard","20283","Login succeeds with valid credentials","","2026-09-09","failed","2026-09-09","","Login Page Tests","com.automation.tests.LoginTest","testSuccessfulLogin"
