"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Шаги:
1. Добавить товар (предусловие)
2. Проверить что корзина не пустая
3. Проверить что итоговая сумма > 0
4. Проверить кнопку «Оформить заказ»
","17153","3. Корзина содержит добавленный товар с ценой","","2026-09-19","passed","2026-09-19","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testCartContainsProductWithPrice"
"Шаги:
1. Добавить товар в корзину (предусловие)
2. Нажать кнопку удаления товара
3. Проверить что корзина опустела
","22979","2. Удаление товара из корзины","","2026-09-19","passed","2026-09-19","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testRemoveItemFromCart"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","14167","Параметризованный поиск по различным запросам Прогон 3: Поиск по запросу 'помпа', ожидаем не менее 3 товаров","","2026-09-19","passed","2026-09-19","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"Имя + телефон из 10 цифр, начинающийся с 9 + код капчи 12345 -> отправка -> запрос отклонён, модалка осталась открытой","9134","Форма не отправляется с неверным кодом защиты (капчей)","","2026-09-19","passed","2026-09-19","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testWrongCaptchaRejectsSubmission"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","15065","Параметризованный поиск по различным запросам Прогон 2: Поиск по запросу 'кулер', ожидаем не менее 1 товаров","","2026-09-19","passed","2026-09-19","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"Поиск товара -> переход в карточку по ссылке -> сверка H1, цены и блока деталей","16014","Проверка ключевых атрибутов карточки: название, цена, характеристики","","2026-09-19","passed","2026-09-19","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testProductCardDisplaysCoreInfo"
"Открытие модалки заказа звонка -> отправка пустой формы -> проверка ошибок валидации","8733","Отправка пустой формы показывает ошибки валидации","","2026-09-19","passed","2026-09-19","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testEmptyCallbackFormShowsValidation"
"Шаги:
1. Добавить товар в корзину (предусловие)
2. Запомнить итоговую сумму до изменения
3. Нажать '+' для увеличения количества
4. Проверить что товаров стало 2
","21648","1. Увеличение количества товара через кнопку '+'","","2026-09-19","passed","2026-09-19","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testIncreaseQuantityUpdatesTotal"
"Шаги:
1. Открыть раздел «Питьевая вода 19 литров»
2. Перейти по URL подраздела «В одноразовой таре»
3. Проверить что URL содержит слаг подраздела
4. Проверить что chip-кнопки видимы на новой странице
5. Проверить что список товаров не пуст
","7918","Chip-фильтр 'В одноразовой таре': URL обновился, товары видны","","2026-09-19","passed","2026-09-19","","Фильтрация товаров в каталоге","com.automation.tests.CatalogFiltersTest","testSingleUseTareFilter"
"Поиск -> добавить в избранное -> открыть избранное -> удалить первый товар -> товар исчез из списка","24156","Удаление товара из избранного (гостевой режим)","","2026-09-19","passed","2026-09-19","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testRemoveFromFavorites"
"Сценарий (негативный):
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска заведомо бессмысленный запрос
   (значение берётся из config.properties: search.query.garbage)
3. Дождаться загрузки страницы результатов
4. Проверить: URL содержит поисковой запрос (q=)
5. Проверить: страница не упала с ошибкой 500/404 —
   блок .catalog-items видим (сайт показывает рекомендации)
","13696","Поиск бессмысленного запроса не вызывает ошибку страницы","","2026-09-19","passed","2026-09-19","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testGarbageQueryShowsEmptyOrRecommendations"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: кулер
3. Нажать кнопку поиска
4. Проверить, что открылась страница каталога (/catalog/)
5. Проверить, что URL содержит параметр поиска q=
6. Проверить, что найден хотя бы 1 товар
","16280","Поиск 'кулер' возвращает страницу каталога с результатами","","2026-09-19","passed","2026-09-19","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForCoolerReturnsResults"
"Негативный тест: ввести невалидный промокод -> блок ошибки -> Grand Total не изменился.","43501","2. Неверный промокод показывает ошибку и не меняет сумму","","2026-09-19","broken","2026-09-19","","Корзина: пересчёт суммы","com.automation.tests.CartPriceTest","testInvalidPromoCodeShowsError"
"Шаги:
1. Открыть раздел «Питьевая вода 19 литров»
2. Перейти по URL подраздела «В многоразовой таре»
3. Проверить что URL содержит слаг подраздела
4. Проверить что chip-кнопки видимы (навигация присутствует)
5. Проверить что список товаров не пуст
","9666","Chip-фильтр 'В многоразовой таре': URL обновился, товары видны","","2026-09-19","passed","2026-09-19","","Фильтрация товаров в каталоге","com.automation.tests.CatalogFiltersTest","testReusableTareFilter"
"E2E: qty=1 -> запомнить P и Total. '+' -> qty=2 И Total=P*2. '-' -> qty=1 И Total=P.","19539","1. AJAX-пересчёт итоговой суммы при изменении количества товара","","2026-09-19","passed","2026-09-19","","Корзина: пересчёт суммы","com.automation.tests.CartPriceTest","testCartTotalRecalculatesOnQuantityChange"
"E2E-сценарий (гостевой режим):
1. Открыть главную vodovoz.ru
2. Поиск «кулер»
3. Запомнить название первого товара
4. Нажать «В избранное» (кнопка-сердечко)
5. Перейти на страницу /personal/favorite/
6. Если редирект на логин — тест фиксирует это как ожидаемое поведение
7. Если страница избранного открылась — проверяем наличие товара
","21473","Поиск 'кулер' → В избранное → Проверка страницы избранного","","2026-09-19","passed","2026-09-19","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testAddToFavoritesAsGuest"
