"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Шаги:
1. Добавить товар в корзину (предусловие)
2. Запомнить итоговую сумму до изменения
3. Нажать '+' для увеличения количества
4. Проверить что товаров стало 2
","22183","1. Увеличение количества товара через кнопку '+'","","2026-09-23","passed","2026-09-23","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testIncreaseQuantityUpdatesTotal"
"Шаги:
1. Добавить товар в корзину (предусловие)
2. Нажать кнопку удаления товара
3. Проверить что корзина опустела
","25470","2. Удаление товара из корзины","","2026-09-23","passed","2026-09-23","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testRemoveItemFromCart"
"1. Открыть /reviews/
2. Нажать «Написать отзыв» → модалка id=12
3. Активировать чекбокс согласия (иначе Submit disabled)
4. Отправить без заполнения полей
5. Проверить label.error (Рейтинг, Имя, Email, Текст — required)
","8724","Пустая форма отзыва показывает ошибки валидации","","2026-09-23","passed","2026-09-23","","Форма «Написать отзыв» — негативные тесты","com.automation.tests.FeedbackFormTest","testEmptyFeedbackFormShowsValidation"
"Шаги:
1. Добавить товар (предусловие)
2. Проверить что корзина не пустая
3. Проверить что итоговая сумма > 0
4. Проверить кнопку «Оформить заказ»
","19368","3. Корзина содержит добавленный товар с ценой","","2026-09-23","passed","2026-09-23","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testCartContainsProductWithPrice"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","15352","Параметризованный поиск по различным запросам Прогон 1: Поиск по запросу 'вода', ожидаем не менее 5 товаров","","2026-09-23","passed","2026-09-23","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"E2E-сценарий (параметризован по поисковому запросу):
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска переданный query
3. Дождаться результатов (не менее 1 товара)
4. Запомнить название первого товара
5. Нажать кнопку «В корзину» первого товара
6. Убедиться что счётчик корзины в шапке стал > 0
7. Открыть страницу корзины /basket/
8. Проверить, что корзина не пуста
9. Проверить, что добавленный товар присутствует в корзине
","23615","E2E: Поиск → В корзину → Корзина содержит товар E2E корзина: товар по запросу 'кулер'","","2026-09-23","passed","2026-09-23","","E2E: Поиск → Корзина","com.automation.tests.AddToCartTest","testSearchAndAddToCart"
"Сценарий (негативный):
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска заведомо бессмысленный запрос
   (значение берётся из config.properties: search.query.garbage)
3. Дождаться загрузки страницы результатов
4. Проверить: URL содержит поисковой запрос (q=)
5. Проверить: страница не упала с ошибкой 500/404 —
   блок .catalog-items видим (сайт показывает рекомендации)
","15634","Поиск бессмысленного запроса не вызывает ошибку страницы","","2026-09-23","passed","2026-09-23","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testGarbageQueryShowsEmptyOrRecommendations"
"Поиск -> открытие карточки первого товара -> клик по табу 'Отзывы' -> блок отзывов загружен","17879","Открытие таба 'Отзывы' на карточке товара","","2026-09-23","passed","2026-09-23","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testProductReviewsTabOpens"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: кулер
3. Нажать кнопку поиска
4. Проверить, что открылась страница каталога (/catalog/)
5. Проверить, что URL содержит параметр поиска q=
6. Проверить, что найден хотя бы 1 товар
","16921","Поиск 'кулер' возвращает страницу каталога с результатами","","2026-09-23","passed","2026-09-23","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForCoolerReturnsResults"
"Открытие карточки кулера -> клик 'В корзину' -> проверка появления счетчика количества","36855","Добавление товара в корзину из карточки с проверкой динамического счетчика","","2026-09-23","failed","2026-09-23","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testAddToCartFromProductCard"
"Открытие модалки заказа звонка -> отправка пустой формы -> проверка ошибок валидации","9712","Отправка пустой формы показывает ошибки валидации","","2026-09-23","passed","2026-09-23","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testEmptyCallbackFormShowsValidation"
"Шаги:
1. Открыть раздел каталога (питьевая вода 19 л)
2. Применить сортировку «Дороже» (order=desc)
3. Проверить что цены идут по убыванию (first ≥ last)
4. Проверить наличие товаров
","12608","Сортировка 'Дороже': первый товар дороже последнего","","2026-09-23","passed","2026-09-23","","Сортировка товаров в каталоге","com.automation.tests.CatalogSortTest","testSortByPriceDescending"
"1. Открыть /reviews/
2. Нажать «Написать отзыв» → модалка
3. Ввести только имя «Тест Авто»
4. Отправить без рейтинга, email и текста
5. Проверить label.error (Рейтинг, Email, Текст — обязательны)
","9115","Форма с именем без рейтинга и текста показывает ошибки валидации","","2026-09-23","passed","2026-09-23","","Форма «Написать отзыв» — негативные тесты","com.automation.tests.FeedbackFormTest","testPartialFeedbackFormShowsValidation"
