"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск -> открытие карточки первого товара -> клик по табу 'Отзывы' -> блок отзывов загружен","17633","Открытие таба 'Отзывы' на карточке товара","","2026-09-18","passed","2026-09-18","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testProductReviewsTabOpens"
"Негативный E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Нажать кнопку «Войти» в шапке сайта
3. Дождаться открытия модального окна авторизации
4. Переключиться на вход по Email
5. Ввести некорректный email: test_qa_auto@example.com
6. Ввести неверный пароль: WrongPass123!
7. Принять условия обработки персональных данных
8. Нажать кнопку «Войти»
9. Проверить, что отображается сообщение об ошибке авторизации
","27990","Вход с неверным Email → проверка сообщения об ошибке","","2026-09-18","passed","2026-09-18","","Авторизация по Email","com.automation.tests.LoginByEmailTest","testLoginWithInvalidEmailShowsError"
"Шаги:
1. Открыть раздел каталога (питьевая вода 19 л)
2. Применить сортировку «Дороже» (order=desc)
3. Проверить что цены идут по убыванию (first ≥ last)
4. Проверить наличие товаров
","14483","Сортировка 'Дороже': первый товар дороже последнего","","2026-09-18","passed","2026-09-18","","Сортировка товаров в каталоге","com.automation.tests.CatalogSortTest","testSortByPriceDescending"
"Имя + телефон из 10 цифр, начинающийся с 9 + код капчи 12345 -> отправка -> запрос отклонён, модалка осталась открытой","9726","Форма не отправляется с неверным кодом защиты (капчей)","","2026-09-18","passed","2026-09-18","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testWrongCaptchaRejectsSubmission"
"E2E: qty=1 -> запомнить P и Total. '+' -> qty=2 И Total=P*2. '-' -> qty=1 И Total=P.","22518","1. AJAX-пересчёт итоговой суммы при изменении количества товара","","2026-09-18","passed","2026-09-18","","Корзина: пересчёт суммы","com.automation.tests.CartPriceTest","testCartTotalRecalculatesOnQuantityChange"
"Открытие карточки кулера -> клик 'В корзину' -> проверка появления счетчика количества","19560","Добавление товара в корзину из карточки с проверкой динамического счетчика","","2026-09-18","passed","2026-09-18","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testAddToCartFromProductCard"
"Негативный тест: ввести невалидный промокод -> блок ошибки -> Grand Total не изменился.","20294","2. Неверный промокод показывает ошибку и не меняет сумму","","2026-09-18","passed","2026-09-18","","Корзина: пересчёт суммы","com.automation.tests.CartPriceTest","testInvalidPromoCodeShowsError"
"Шаги:
1. Открыть раздел каталога (питьевая вода 19 л)
2. Применить сортировку «Дешевле» (order=asc)
3. Проверить что цены идут по возрастанию (first ≤ last)
4. Проверить наличие товаров
","12553","Сортировка 'Дешевле': первый товар дешевле последнего","","2026-09-18","passed","2026-09-18","","Сортировка товаров в каталоге","com.automation.tests.CatalogSortTest","testSortByPriceAscending"
"Шаги:
1. Добавить товар в корзину (предусловие)
2. Нажать кнопку удаления товара
3. Проверить что корзина опустела
","25195","2. Удаление товара из корзины","","2026-09-18","passed","2026-09-18","","Корзина: изменение количества и удаление товара","com.automation.tests.CartQuantityTest","testRemoveItemFromCart"
"Поиск -> добавить в избранное -> открыть избранное -> удалить первый товар -> товар исчез из списка","26995","Удаление товара из избранного (гостевой режим)","","2026-09-18","passed","2026-09-18","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testRemoveFromFavorites"
