"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск -> добавить в избранное -> открыть избранное -> удалить первый товар -> товар исчез из списка","28757","Удаление товара из избранного (гостевой режим)","","2026-09-16","passed","2026-09-16","","Добавление товара в избранное","com.automation.tests.AddToFavoritesTest","testRemoveFromFavorites"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: вода
3. Нажать кнопку поиска
4. Проверить, что URL содержит параметр q=
5. Проверить, что найдено не менее 5 товаров
6. Проверить, что хотя бы один товар содержит 'вода' в названии
","17033","Поиск 'вода' возвращает товары с водой","","2026-09-16","passed","2026-09-16","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForWaterReturnsProducts"
"Шаги:
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска: кулер
3. Нажать кнопку поиска
4. Проверить, что открылась страница каталога (/catalog/)
5. Проверить, что URL содержит параметр поиска q=
6. Проверить, что найден хотя бы 1 товар
","17814","Поиск 'кулер' возвращает страницу каталога с результатами","","2026-09-16","passed","2026-09-16","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testSearchForCoolerReturnsResults"
"Шаги:
1. Открыть раздел «Питьевая вода 19 литров»
2. Перейти по URL подраздела «В одноразовой таре»
3. Проверить что URL содержит слаг подраздела
4. Проверить что chip-кнопки видимы на новой странице
5. Проверить что список товаров не пуст
","9924","Chip-фильтр 'В одноразовой таре': URL обновился, товары видны","","2026-09-16","passed","2026-09-16","","Фильтрация товаров в каталоге","com.automation.tests.CatalogFiltersTest","testSingleUseTareFilter"
"Сценарий (негативный):
1. Открыть главную страницу vodovoz.ru
2. Ввести в строку поиска заведомо бессмысленный запрос
   (значение берётся из config.properties: search.query.garbage)
3. Дождаться загрузки страницы результатов
4. Проверить: URL содержит поисковой запрос (q=)
5. Проверить: страница не упала с ошибкой 500/404 —
   блок .catalog-items видим (сайт показывает рекомендации)
","16629","Поиск бессмысленного запроса не вызывает ошибку страницы","","2026-09-16","passed","2026-09-16","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testGarbageQueryShowsEmptyOrRecommendations"
"1. Открыть /reviews/
2. Нажать «Написать отзыв» → модалка id=12
3. Активировать чекбокс согласия (иначе Submit disabled)
4. Отправить без заполнения полей
5. Проверить label.error (Рейтинг, Имя, Email, Текст — required)
","15087","Пустая форма отзыва показывает ошибки валидации","","2026-09-16","passed","2026-09-16","","Форма «Написать отзыв» — негативные тесты","com.automation.tests.FeedbackFormTest","testEmptyFeedbackFormShowsValidation"
"Параметризованный тест с @CsvSource.
Для каждого запроса проверяем:
1. Страница каталога открылась (/catalog/ в URL)
2. Количество товаров ≥ указанного минимума
3. Хотя бы один товар содержит поисковое слово в названии
","16843","Параметризованный поиск по различным запросам Прогон 2: Поиск по запросу 'кулер', ожидаем не менее 1 товаров","","2026-09-16","passed","2026-09-16","","Поиск на vodovoz.ru","com.automation.tests.VodovozSearchTest","testParametrizedSearch"
"1. Открыть /reviews/
2. Нажать «Написать отзыв» → модалка
3. Ввести только имя «Тест Авто»
4. Отправить без рейтинга, email и текста
5. Проверить label.error (Рейтинг, Email, Текст — обязательны)
","11289","Форма с именем без рейтинга и текста показывает ошибки валидации","","2026-09-16","passed","2026-09-16","","Форма «Написать отзыв» — негативные тесты","com.automation.tests.FeedbackFormTest","testPartialFeedbackFormShowsValidation"
"Имя + телефон из 10 цифр, начинающийся с 9 + код капчи 12345 -> отправка -> запрос отклонён, модалка осталась открытой","11416","Форма не отправляется с неверным кодом защиты (капчей)","","2026-09-16","passed","2026-09-16","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testWrongCaptchaRejectsSubmission"
"Открытие карточки кулера -> клик 'В корзину' -> проверка появления счетчика количества","22021","Добавление товара в корзину из карточки с проверкой динамического счетчика","","2026-09-16","passed","2026-09-16","","Карточка товара (PDP)","com.automation.tests.ProductCardTest","testAddToCartFromProductCard"
"Негативный E2E-сценарий:
1. Открыть главную страницу vodovoz.ru
2. Нажать кнопку «Войти» в шапке сайта
3. Дождаться открытия модального окна авторизации
4. Переключиться на вход по Email
5. Ввести некорректный email: test_qa_auto@example.com
6. Ввести неверный пароль: WrongPass123!
7. Принять условия обработки персональных данных
8. Нажать кнопку «Войти»
9. Проверить, что отображается сообщение об ошибке авторизации
","24362","Вход с неверным Email → проверка сообщения об ошибке","","2026-09-16","passed","2026-09-16","","Авторизация по Email","com.automation.tests.LoginByEmailTest","testLoginWithInvalidEmailShowsError"
"Открытие модалки заказа звонка -> отправка пустой формы -> проверка ошибок валидации","10064","Отправка пустой формы показывает ошибки валидации","","2026-09-16","passed","2026-09-16","","Сервисные формы: заказ звонка","com.automation.tests.CallbackFormTest","testEmptyCallbackFormShowsValidation"
